epoch,custom_loss_function,loss,mean_absolute_error,mean_squared_error,val_custom_loss_function,val_loss,val_mean_absolute_error,val_mean_squared_error
0,0.30358952283859253,0.009145794436335564,0.06548768281936646,0.009145794436335564,0.18108685314655304,0.003259076504036784,0.039517439901828766,0.003259076504036784
1,0.20682014524936676,0.004274548962712288,0.045279424637556076,0.004274548962712288,0.19301553070545197,0.003501268569380045,0.04091517627239227,0.003501268569380045
2,0.1978268325328827,0.004041336011141539,0.04369300231337547,0.004041336011141539,0.18247924745082855,0.0030941530130803585,0.04019821807742119,0.0030941530130803585
3,0.19498036801815033,0.0038684511091560125,0.04316920414566994,0.0038684511091560125,0.18957218527793884,0.0033104156609624624,0.04139954596757889,0.0033104156609624624
4,0.19209596514701843,0.0037260788958519697,0.042545098811388016,0.0037260788958519697,0.18647441267967224,0.003418868174776435,0.04041193425655365,0.003418868174776435
5,0.18324002623558044,0.003345102770254016,0.04084959998726845,0.003345102770254016,0.21789292991161346,0.004441205877810717,0.04613226279616356,0.004441205877810717
6,0.17968522012233734,0.003194063436239958,0.040121424943208694,0.003194063436239958,0.1892957091331482,0.0032875165343284607,0.04122519493103027,0.0032875165343284607
7,0.175187349319458,0.0030452515929937363,0.03921602666378021,0.0030452515929937363,0.1811589002609253,0.0032152540516108274,0.03958861902356148,0.0032152540516108274
